epoch,step,loss_total,loss_soft,loss_hard,acc,f1
1,100,0.018563,0.022665,0.008992,0.104414,0.042844
1,200,0.0182,0.022221,0.008818,0.167187,0.118348
1,300,0.015457,0.018831,0.007584,0.263437,0.184934
1,400,0.012433,0.015082,0.006253,0.414062,0.395899
1,500,0.010401,0.012533,0.005426,0.51043,0.503511
1,600,0.009107,0.010934,0.004842,0.567344,0.565578
1,700,0.008345,0.009982,0.004525,0.604727,0.605839
1,703,0.008436,0.010013,0.004754,0.598958,0.610683
2,100,0.00782,0.009319,0.004324,0.624258,0.628239
2,200,0.007383,0.008763,0.004162,0.64582,0.648924
2,300,0.007047,0.008356,0.003992,0.662539,0.664024
2,400,0.006661,0.007877,0.003821,0.678516,0.681106
2,500,0.00642,0.007571,0.003735,0.690312,0.691188
2,600,0.006153,0.00723,0.003639,0.69875,0.700078
2,700,0.006014,0.007057,0.00358,0.707891,0.709256
2,703,0.005958,0.006949,0.003646,0.69401,0.703219
3,100,0.005663,0.006627,0.003415,0.723437,0.724253
3,200,0.005448,0.006374,0.003287,0.733516,0.733752
3,300,0.005348,0.006242,0.003259,0.734062,0.734879
3,400,0.005192,0.006056,0.003177,0.745664,0.746559
3,500,0.005022,0.005843,0.003105,0.75168,0.752117
3,600,0.004809,0.005581,0.003007,0.758594,0.758006
3,700,0.004752,0.00551,0.002983,0.762813,0.764036
3,703,0.004629,0.005414,0.002796,0.789062,0.786429
4,100,0.004548,0.005265,0.002876,0.775234,0.775093
4,200,0.004454,0.005151,0.002827,0.775234,0.775529
4,300,0.004417,0.00509,0.002848,0.775781,0.77671
4,400,0.004358,0.005027,0.002798,0.778711,0.7781
4,500,0.004226,0.004874,0.002714,0.78457,0.784451
4,600,0.004258,0.004903,0.002752,0.7825,0.782829
4,700,0.004048,0.004652,0.002637,0.794102,0.793357
4,703,0.004288,0.004927,0.002797,0.777344,0.774094
5,100,0.004014,0.00461,0.002624,0.793125,0.79324
5,200,0.004005,0.004597,0.002626,0.793828,0.79413
5,300,0.003895,0.00447,0.002554,0.801094,0.801137
5,400,0.003847,0.004404,0.002546,0.799023,0.797497
5,500,0.003812,0.004363,0.002524,0.80457,0.804952
5,600,0.003706,0.004239,0.002462,0.809609,0.809743
5,700,0.003709,0.004233,0.002486,0.807305,0.807608
5,703,0.003419,0.003991,0.002083,0.826823,0.826381
6,100,0.003683,0.004208,0.002458,0.808984,0.809105
6,200,0.003537,0.00404,0.002363,0.815352,0.814931
6,300,0.003573,0.004069,0.002416,0.814297,0.814113
6,400,0.003543,0.004041,0.002379,0.814102,0.81448
6,500,0.003544,0.004035,0.002397,0.815547,0.814987
6,600,0.003447,0.003925,0.002333,0.818125,0.818202
6,700,0.003493,0.003979,0.002358,0.816445,0.817014
6,703,0.003407,0.003844,0.002389,0.807292,0.806532
7,100,0.003395,0.00385,0.002334,0.820469,0.820709
7,200,0.003448,0.003924,0.002339,0.818711,0.818564
7,300,0.003364,0.003832,0.002274,0.822891,0.822054
7,400,0.003352,0.003802,0.002301,0.822266,0.822163
7,500,0.003238,0.003677,0.002211,0.826641,0.826684
7,600,0.003234,0.003671,0.002216,0.830625,0.830646
7,700,0.003284,0.003723,0.002262,0.82543,0.826123
7,703,0.00317,0.003595,0.002179,0.83724,0.837112
8,100,0.00321,0.003638,0.002211,0.829492,0.828978
8,200,0.003271,0.003706,0.002258,0.825313,0.825951
8,300,0.003254,0.003696,0.002224,0.826172,0.825865
8,400,0.003163,0.003577,0.002197,0.831055,0.83105
8,500,0.003169,0.0036,0.002163,0.833477,0.833203
8,600,0.00317,0.003577,0.002219,0.829219,0.829075
8,700,0.003118,0.003524,0.00217,0.83293,0.833104
8,703,0.003226,0.003685,0.002155,0.829427,0.828671
9,100,0.003126,0.003534,0.002176,0.831172,0.831636
9,200,0.003144,0.003563,0.002167,0.834375,0.833846
9,300,0.00312,0.003533,0.002158,0.833867,0.833936
9,400,0.003098,0.003502,0.002156,0.836914,0.837348
9,500,0.003102,0.003498,0.002176,0.833594,0.833645
9,600,0.003091,0.003493,0.002153,0.832656,0.832629
9,700,0.003079,0.00348,0.002144,0.835352,0.834529
9,703,0.003336,0.003687,0.002517,0.807292,0.808885
10,100,0.003057,0.003452,0.002137,0.833672,0.834069
10,200,0.003057,0.003449,0.002141,0.836836,0.836586
10,300,0.003051,0.003454,0.002113,0.837109,0.83723
10,400,0.003076,0.003473,0.002148,0.834883,0.835119
10,500,0.003004,0.003392,0.002098,0.837422,0.837007
10,600,0.003053,0.003446,0.002137,0.835039,0.834899
10,700,0.003,0.003391,0.002087,0.839102,0.838894
10,703,0.002934,0.003298,0.002085,0.846354,0.841371
